INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=17/36 | 52 samples
INFO   [  1/ 52] 0017 gold=MALIGNANT | 20 claims 10 mal | 10 disagree  2 agree | 16s | ETA 0.2h
INFO   [ 40/ 52] 1421 gold=MALIGNANT | 20 claims  8 mal | 12 disagree  0 agree | 16s | ETA 0.1h
INFO   [ 41/ 52] 1457 gold=MALIGNANT | 19 claims  8 mal |  7 disagree  5 agree | 16s | ETA 0.0h
INFO   [ 42/ 52] 1493 gold=MALIGNANT | 19 claims 10 mal | 12 disagree  0 agree | 15s | ETA 0.0h
INFO   [ 43/ 52] 1529 gold=BENIGN    | 19 claims 10 mal | 11 disagree  1 agree | 16s | ETA 0.0h
INFO   [ 44/ 52] 1565 gold=MALIGNANT | 20 claims 14 mal |  8 disagree  4 agree | 16s | ETA 0.0h
INFO   [ 45/ 52] 1601 gold=BENIGN    | 20 claims  9 mal | 12 disagree  0 agree | 16s | ETA 0.0h
INFO   [ 46/ 52] 1637 gold=MALIGNANT | 20 claims 13 mal | 11 disagree  1 agree | 17s | ETA 0.0h
INFO   [ 47/ 52] 1673 gold=BENIGN    | 20 claims 13 mal | 12 disagree  0 agree | 16s | ETA 0.0h
INFO   [ 48/ 52] 1709 gold=MALIGNANT | 20 claims  7 mal | 12 disagree  0 agree | 16s | ETA 0.0h
INFO   [ 49/ 52] 1745 gold=BENIGN    | 20 claims  9 mal |  9 disagree  3 agree | 16s | ETA 0.0h
INFO   [ 50/ 52] 1781 gold=MALIGNANT | 18 claims 10 mal |  8 disagree  4 agree | 15s | ETA 0.0h
INFO   [ 51/ 52] 1817 gold=MALIGNANT | 20 claims 13 mal | 12 disagree  0 agree | 15s | ETA 0.0h
INFO   [ 52/ 52] 1853 gold=BENIGN    | 19 claims 11 mal |  6 disagree  6 agree | 15s | ETA 0.0h
INFO Done in 13.5 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/breastMnist/data/breast/debates_busbra/all
