INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=3/36 | 52 samples
INFO   [  1/ 52] 0003 gold=BENIGN    | 19 claims  8 mal | 12 disagree  0 agree | 57s | ETA 0.8h
INFO   [ 25/ 52] 0867 gold=BENIGN    | 12 claims  5 mal |  3 disagree  1 agree | 30s | ETA 0.3h
INFO   [ 26/ 52] 0903 gold=BENIGN    | 20 claims 12 mal | 12 disagree  0 agree | 35s | ETA 0.3h
INFO   [ 27/ 52] 0939 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 37s | ETA 0.3h
INFO   [ 28/ 52] 0975 gold=BENIGN    | 20 claims  9 mal | 12 disagree  0 agree | 36s | ETA 0.2h
WARNING turn agent_1 r0 failed: HTTP Error 500: Internal Server Error
INFO   [ 29/ 52] 1011 gold=MALIGNANT | 15 claims  9 mal | 12 disagree  0 agree | 74s | ETA 0.2h
INFO   [ 30/ 52] 1047 gold=BENIGN    | 20 claims 11 mal | 11 disagree  1 agree | 36s | ETA 0.2h
INFO   [ 31/ 52] 1083 gold=BENIGN    | 19 claims  9 mal | 11 disagree  1 agree | 36s | ETA 0.2h
INFO   [ 32/ 52] 1119 gold=MALIGNANT | 20 claims 12 mal |  9 disagree  3 agree | 37s | ETA 0.2h
INFO   [ 33/ 52] 1155 gold=MALIGNANT | 20 claims 11 mal | 11 disagree  1 agree | 35s | ETA 0.2h
INFO   [ 34/ 52] 1191 gold=MALIGNANT | 19 claims 12 mal |  9 disagree  3 agree | 35s | ETA 0.2h
INFO   [ 35/ 52] 1227 gold=BENIGN    | 20 claims 16 mal |  9 disagree  3 agree | 36s | ETA 0.2h
INFO   [ 36/ 52] 1263 gold=BENIGN    | 20 claims 11 mal | 12 disagree  0 agree | 35s | ETA 0.2h
INFO   [ 37/ 52] 1299 gold=BENIGN    | 20 claims 11 mal |  7 disagree  5 agree | 35s | ETA 0.2h
INFO   [ 38/ 52] 1335 gold=BENIGN    | 19 claims  9 mal | 12 disagree  0 agree | 36s | ETA 0.1h
INFO   [ 39/ 52] 1371 gold=BENIGN    | 20 claims 12 mal |  9 disagree  3 agree | 36s | ETA 0.1h
INFO   [ 40/ 52] 1407 gold=BENIGN    | 19 claims 13 mal | 11 disagree  1 agree | 37s | ETA 0.1h
INFO   [ 41/ 52] 1443 gold=BENIGN    | 20 claims  8 mal | 12 disagree  0 agree | 36s | ETA 0.1h
INFO   [ 42/ 52] 1479 gold=BENIGN    | 19 claims  6 mal |  9 disagree  3 agree | 35s | ETA 0.1h
INFO   [ 43/ 52] 1515 gold=BENIGN    | 19 claims 14 mal |  6 disagree  6 agree | 36s | ETA 0.1h
INFO   [ 44/ 52] 1551 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 36s | ETA 0.1h
INFO   [ 45/ 52] 1587 gold=BENIGN    | 20 claims  6 mal | 12 disagree  0 agree | 36s | ETA 0.1h
INFO   [ 46/ 52] 1623 gold=BENIGN    | 20 claims 14 mal | 12 disagree  0 agree | 35s | ETA 0.1h
INFO   [ 47/ 52] 1659 gold=MALIGNANT | 19 claims  9 mal |  7 disagree  5 agree | 35s | ETA 0.1h
INFO   [ 48/ 52] 1695 gold=BENIGN    | 20 claims  9 mal | 12 disagree  0 agree | 35s | ETA 0.0h
INFO   [ 49/ 52] 1731 gold=MALIGNANT | 20 claims 16 mal |  6 disagree  6 agree | 37s | ETA 0.0h
INFO   [ 50/ 52] 1767 gold=MALIGNANT | 20 claims 10 mal | 12 disagree  0 agree | 36s | ETA 0.0h
INFO   [ 51/ 52] 1803 gold=MALIGNANT | 20 claims  7 mal | 12 disagree  0 agree | 36s | ETA 0.0h
INFO   [ 52/ 52] 1839 gold=MALIGNANT | 20 claims  6 mal |  0 disagree 12 agree | 36s | ETA 0.0h
INFO Done in 32.0 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/breastMnist/data/breast/debates_busbra/all
