INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=31/36 | 52 samples
INFO   [  1/ 52] 0031 gold=BENIGN    | 20 claims  9 mal | 11 disagree  1 agree | 48s | ETA 0.7h
INFO   [ 21/ 52] 0751 gold=BENIGN    | 20 claims  8 mal | 12 disagree  0 agree | 67s | ETA 0.5h
INFO   [ 22/ 52] 0787 gold=BENIGN    | 20 claims  8 mal |  7 disagree  5 agree | 63s | ETA 0.5h
INFO   [ 23/ 52] 0823 gold=MALIGNANT | 19 claims 14 mal |  5 disagree  7 agree | 62s | ETA 0.5h
INFO   [ 24/ 52] 0859 gold=MALIGNANT | 20 claims 11 mal | 10 disagree  2 agree | 63s | ETA 0.5h
INFO   [ 25/ 52] 0895 gold=BENIGN    | 19 claims 13 mal |  9 disagree  3 agree | 62s | ETA 0.5h
INFO   [ 26/ 52] 0931 gold=BENIGN    | 20 claims  9 mal | 11 disagree  1 agree | 63s | ETA 0.4h
INFO   [ 27/ 52] 0967 gold=BENIGN    | 18 claims 14 mal |  5 disagree  7 agree | 60s | ETA 0.4h
INFO   [ 28/ 52] 1003 gold=MALIGNANT | 20 claims  9 mal | 12 disagree  0 agree | 61s | ETA 0.4h
INFO   [ 29/ 52] 1039 gold=BENIGN    | 19 claims 11 mal | 11 disagree  1 agree | 61s | ETA 0.4h
INFO   [ 30/ 52] 1075 gold=MALIGNANT | 19 claims 12 mal | 11 disagree  0 agree | 63s | ETA 0.4h
INFO   [ 31/ 52] 1111 gold=BENIGN    | 19 claims  6 mal |  9 disagree  3 agree | 61s | ETA 0.4h
INFO   [ 32/ 52] 1147 gold=MALIGNANT | 18 claims  7 mal |  7 disagree  5 agree | 60s | ETA 0.3h
INFO   [ 33/ 52] 1183 gold=MALIGNANT | 20 claims 11 mal | 11 disagree  1 agree | 64s | ETA 0.3h
INFO   [ 34/ 52] 1219 gold=BENIGN    | 18 claims  9 mal | 12 disagree  0 agree | 62s | ETA 0.3h
INFO   [ 35/ 52] 1255 gold=BENIGN    | 20 claims 13 mal | 12 disagree  0 agree | 61s | ETA 0.3h
INFO   [ 36/ 52] 1291 gold=MALIGNANT | 18 claims 13 mal |  6 disagree  6 agree | 60s | ETA 0.3h
INFO   [ 37/ 52] 1327 gold=BENIGN    | 20 claims  6 mal | 12 disagree  0 agree | 61s | ETA 0.3h
INFO   [ 38/ 52] 1363 gold=BENIGN    | 19 claims  8 mal | 10 disagree  2 agree | 60s | ETA 0.2h
INFO   [ 39/ 52] 1399 gold=BENIGN    | 19 claims  6 mal | 10 disagree  2 agree | 61s | ETA 0.2h
INFO   [ 40/ 52] 1435 gold=BENIGN    | 20 claims  8 mal | 11 disagree  1 agree | 61s | ETA 0.2h
INFO   [ 41/ 52] 1471 gold=BENIGN    | 19 claims  7 mal | 10 disagree  2 agree | 64s | ETA 0.2h
INFO   [ 42/ 52] 1507 gold=BENIGN    | 19 claims  9 mal | 12 disagree  0 agree | 63s | ETA 0.2h
INFO   [ 43/ 52] 1543 gold=BENIGN    | 18 claims 12 mal |  8 disagree  4 agree | 60s | ETA 0.2h
INFO   [ 44/ 52] 1579 gold=BENIGN    | 19 claims  6 mal | 12 disagree  0 agree | 62s | ETA 0.1h
INFO   [ 45/ 52] 1615 gold=BENIGN    | 19 claims 11 mal | 12 disagree  0 agree | 60s | ETA 0.1h
INFO   [ 46/ 52] 1651 gold=MALIGNANT | 20 claims  8 mal | 12 disagree  0 agree | 61s | ETA 0.1h
INFO   [ 47/ 52] 1687 gold=BENIGN    | 20 claims 12 mal |  9 disagree  3 agree | 61s | ETA 0.1h
INFO   [ 48/ 52] 1723 gold=MALIGNANT | 19 claims 11 mal |  7 disagree  5 agree | 61s | ETA 0.1h
INFO   [ 49/ 52] 1759 gold=BENIGN    | 20 claims  7 mal | 12 disagree  0 agree | 62s | ETA 0.1h
INFO   [ 50/ 52] 1795 gold=MALIGNANT | 20 claims 10 mal | 12 disagree  0 agree | 65s | ETA 0.0h
INFO   [ 51/ 52] 1831 gold=BENIGN    | 20 claims 10 mal | 10 disagree  2 agree | 62s | ETA 0.0h
INFO   [ 52/ 52] 1867 gold=BENIGN    | 19 claims  9 mal | 11 disagree  1 agree | 61s | ETA 0.0h
INFO Done in 53.1 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/breastMnist/data/breast/debates_busbra/all
