INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=12/36 | 52 samples
INFO   [  1/ 52] 0012 gold=BENIGN    | 18 claims  8 mal |  8 disagree  3 agree | 11s | ETA 0.1h
INFO   [ 30/ 52] 1056 gold=BENIGN    | 19 claims 13 mal |  8 disagree  4 agree | 11s | ETA 0.1h
INFO   [ 31/ 52] 1092 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 32/ 52] 1128 gold=MALIGNANT | 20 claims 12 mal | 11 disagree  1 agree | 11s | ETA 0.1h
INFO   [ 33/ 52] 1164 gold=MALIGNANT | 20 claims  7 mal |  8 disagree  4 agree | 11s | ETA 0.1h
INFO   [ 34/ 52] 1200 gold=BENIGN    | 19 claims 12 mal |  9 disagree  3 agree | 11s | ETA 0.1h
INFO   [ 35/ 52] 1236 gold=MALIGNANT | 20 claims  9 mal | 12 disagree  0 agree | 11s | ETA 0.1h
INFO   [ 36/ 52] 1272 gold=MALIGNANT | 19 claims  9 mal | 11 disagree  1 agree | 10s | ETA 0.0h
INFO   [ 37/ 52] 1308 gold=BENIGN    | 20 claims 11 mal | 12 disagree  0 agree | 11s | ETA 0.0h
INFO   [ 38/ 52] 1344 gold=BENIGN    | 18 claims 15 mal |  6 disagree  6 agree | 10s | ETA 0.0h
INFO   [ 39/ 52] 1380 gold=BENIGN    | 20 claims  7 mal | 12 disagree  0 agree | 11s | ETA 0.0h
INFO   [ 40/ 52] 1416 gold=BENIGN    | 20 claims 10 mal |  9 disagree  3 agree | 10s | ETA 0.0h
INFO   [ 41/ 52] 1452 gold=BENIGN    | 20 claims 11 mal | 11 disagree  1 agree | 11s | ETA 0.0h
INFO   [ 42/ 52] 1488 gold=MALIGNANT | 19 claims  9 mal | 12 disagree  0 agree | 10s | ETA 0.0h
INFO   [ 43/ 52] 1524 gold=BENIGN    | 20 claims 10 mal | 11 disagree  1 agree | 11s | ETA 0.0h
INFO   [ 44/ 52] 1560 gold=BENIGN    | 19 claims 11 mal | 12 disagree  0 agree | 11s | ETA 0.0h
INFO   [ 45/ 52] 1596 gold=BENIGN    | 20 claims  8 mal | 11 disagree  1 agree | 11s | ETA 0.0h
INFO   [ 46/ 52] 1632 gold=MALIGNANT | 19 claims 11 mal | 10 disagree  2 agree | 10s | ETA 0.0h
INFO   [ 47/ 52] 1668 gold=BENIGN    | 19 claims  9 mal | 12 disagree  0 agree | 11s | ETA 0.0h
INFO   [ 48/ 52] 1704 gold=BENIGN    | 20 claims  8 mal | 11 disagree  1 agree | 11s | ETA 0.0h
INFO   [ 49/ 52] 1740 gold=BENIGN    | 20 claims  5 mal |  9 disagree  3 agree | 11s | ETA 0.0h
INFO   [ 50/ 52] 1776 gold=MALIGNANT | 20 claims  6 mal | 12 disagree  0 agree | 10s | ETA 0.0h
INFO   [ 51/ 52] 1812 gold=MALIGNANT | 19 claims  9 mal | 12 disagree  0 agree | 10s | ETA 0.0h
INFO   [ 52/ 52] 1848 gold=MALIGNANT | 19 claims 14 mal |  9 disagree  3 agree | 10s | ETA 0.0h
INFO Done in 9.2 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/breastMnist/data/breast/debates_busbra/all
