INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=6/36 | 52 samples
INFO   [  1/ 52] 0006 gold=BENIGN    | 19 claims 10 mal | 12 disagree  0 agree | 54s | ETA 0.8h
INFO   [ 25/ 52] 0870 gold=MALIGNANT | 19 claims 14 mal | 12 disagree  0 agree | 65s | ETA 0.4h
INFO   [ 26/ 52] 0906 gold=BENIGN    | 19 claims 11 mal | 12 disagree  0 agree | 60s | ETA 0.4h
INFO   [ 27/ 52] 0942 gold=BENIGN    | 20 claims 13 mal | 12 disagree  0 agree | 61s | ETA 0.4h
INFO   [ 28/ 52] 0978 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 61s | ETA 0.4h
INFO   [ 29/ 52] 1014 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 61s | ETA 0.4h
INFO   [ 30/ 52] 1050 gold=BENIGN    | 20 claims 10 mal | 10 disagree  2 agree | 61s | ETA 0.4h
INFO   [ 31/ 52] 1086 gold=BENIGN    | 20 claims 11 mal | 11 disagree  1 agree | 62s | ETA 0.3h
INFO   [ 32/ 52] 1122 gold=BENIGN    | 20 claims 12 mal | 12 disagree  0 agree | 62s | ETA 0.3h
INFO   [ 33/ 52] 1158 gold=BENIGN    | 19 claims 14 mal | 11 disagree  1 agree | 59s | ETA 0.3h
INFO   [ 34/ 52] 1194 gold=BENIGN    | 20 claims  9 mal |  9 disagree  3 agree | 61s | ETA 0.3h
INFO   [ 35/ 52] 1230 gold=MALIGNANT | 19 claims 16 mal |  7 disagree  5 agree | 62s | ETA 0.3h
INFO   [ 36/ 52] 1266 gold=BENIGN    | 19 claims 16 mal | 10 disagree  2 agree | 63s | ETA 0.3h
INFO   [ 37/ 52] 1302 gold=BENIGN    | 19 claims 14 mal |  8 disagree  4 agree | 61s | ETA 0.2h
INFO   [ 38/ 52] 1338 gold=BENIGN    | 19 claims 10 mal | 11 disagree  1 agree | 60s | ETA 0.2h
INFO   [ 39/ 52] 1374 gold=BENIGN    | 20 claims 14 mal | 12 disagree  0 agree | 62s | ETA 0.2h
INFO   [ 40/ 52] 1410 gold=BENIGN    | 16 claims  8 mal |  8 disagree  1 agree | 55s | ETA 0.2h
INFO   [ 41/ 52] 1446 gold=BENIGN    | 20 claims 12 mal |  7 disagree  5 agree | 62s | ETA 0.2h
INFO   [ 42/ 52] 1482 gold=MALIGNANT | 20 claims 12 mal | 12 disagree  0 agree | 63s | ETA 0.2h
INFO   [ 43/ 52] 1518 gold=BENIGN    | 19 claims 10 mal | 12 disagree  0 agree | 60s | ETA 0.1h
INFO   [ 44/ 52] 1554 gold=BENIGN    | 20 claims  7 mal | 10 disagree  2 agree | 60s | ETA 0.1h
INFO   [ 45/ 52] 1590 gold=BENIGN    | 19 claims 14 mal | 10 disagree  2 agree | 63s | ETA 0.1h
INFO   [ 46/ 52] 1626 gold=BENIGN    | 20 claims 10 mal | 11 disagree  1 agree | 62s | ETA 0.1h
INFO   [ 47/ 52] 1662 gold=BENIGN    | 19 claims  9 mal | 12 disagree  0 agree | 61s | ETA 0.1h
INFO   [ 48/ 52] 1698 gold=BENIGN    | 20 claims  9 mal | 11 disagree  1 agree | 61s | ETA 0.1h
INFO   [ 49/ 52] 1734 gold=BENIGN    | 20 claims  7 mal | 12 disagree  0 agree | 62s | ETA 0.0h
INFO   [ 50/ 52] 1770 gold=BENIGN    | 19 claims 16 mal |  6 disagree  6 agree | 61s | ETA 0.0h
INFO   [ 51/ 52] 1806 gold=BENIGN    | 20 claims  9 mal | 10 disagree  2 agree | 63s | ETA 0.0h
INFO   [ 52/ 52] 1842 gold=BENIGN    | 20 claims  5 mal |  7 disagree  5 agree | 63s | ETA 0.0h
INFO Done in 52.1 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/breastMnist/data/breast/debates_busbra/all
