INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=32/36 | 52 samples
INFO   [  1/ 52] 0032 gold=BENIGN    | 20 claims 11 mal | 12 disagree  0 agree | 49s | ETA 0.7h
INFO   [ 20/ 52] 0716 gold=MALIGNANT | 20 claims 14 mal | 12 disagree  0 agree | 64s | ETA 0.5h
INFO   [ 21/ 52] 0752 gold=MALIGNANT | 19 claims 13 mal |  9 disagree  3 agree | 61s | ETA 0.5h
INFO   [ 22/ 52] 0788 gold=BENIGN    | 20 claims 14 mal | 12 disagree  0 agree | 64s | ETA 0.5h
INFO   [ 23/ 52] 0824 gold=BENIGN    | 20 claims 11 mal | 12 disagree  0 agree | 63s | ETA 0.5h
INFO   [ 24/ 52] 0860 gold=MALIGNANT | 20 claims 14 mal |  8 disagree  4 agree | 66s | ETA 0.5h
INFO   [ 25/ 52] 0896 gold=BENIGN    | 20 claims 13 mal | 12 disagree  0 agree | 63s | ETA 0.5h
INFO   [ 26/ 52] 0932 gold=BENIGN    | 20 claims 14 mal | 12 disagree  0 agree | 65s | ETA 0.4h
INFO   [ 27/ 52] 0968 gold=BENIGN    | 20 claims 13 mal | 11 disagree  1 agree | 62s | ETA 0.4h
INFO   [ 28/ 52] 1004 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 62s | ETA 0.4h
INFO   [ 29/ 52] 1040 gold=BENIGN    | 20 claims  8 mal |  7 disagree  5 agree | 60s | ETA 0.4h
INFO   [ 30/ 52] 1076 gold=BENIGN    | 19 claims  8 mal |  8 disagree  4 agree | 63s | ETA 0.4h
INFO   [ 31/ 52] 1112 gold=MALIGNANT | 19 claims 12 mal |  9 disagree  3 agree | 63s | ETA 0.4h
INFO   [ 32/ 52] 1148 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 62s | ETA 0.3h
INFO   [ 33/ 52] 1184 gold=BENIGN    | 20 claims 16 mal |  9 disagree  3 agree | 67s | ETA 0.3h
INFO   [ 34/ 52] 1220 gold=MALIGNANT | 19 claims 11 mal | 12 disagree  0 agree | 61s | ETA 0.3h
INFO   [ 35/ 52] 1256 gold=MALIGNANT | 20 claims 10 mal | 11 disagree  1 agree | 63s | ETA 0.3h
INFO   [ 36/ 52] 1292 gold=MALIGNANT | 18 claims 10 mal | 10 disagree  2 agree | 62s | ETA 0.3h
INFO   [ 37/ 52] 1328 gold=BENIGN    | 18 claims  5 mal |  7 disagree  3 agree | 60s | ETA 0.3h
INFO   [ 38/ 52] 1364 gold=BENIGN    | 20 claims  9 mal | 10 disagree  2 agree | 63s | ETA 0.2h
INFO   [ 39/ 52] 1400 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 63s | ETA 0.2h
INFO   [ 40/ 52] 1436 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 61s | ETA 0.2h
INFO   [ 41/ 52] 1472 gold=BENIGN    | 18 claims 10 mal | 12 disagree  0 agree | 60s | ETA 0.2h
INFO   [ 42/ 52] 1508 gold=BENIGN    | 20 claims  7 mal | 12 disagree  0 agree | 61s | ETA 0.2h
INFO   [ 43/ 52] 1544 gold=BENIGN    | 20 claims 12 mal | 11 disagree  1 agree | 62s | ETA 0.2h
INFO   [ 44/ 52] 1580 gold=BENIGN    | 20 claims 14 mal | 12 disagree  0 agree | 62s | ETA 0.1h
INFO   [ 45/ 52] 1616 gold=BENIGN    | 20 claims  7 mal | 12 disagree  0 agree | 63s | ETA 0.1h
INFO   [ 46/ 52] 1652 gold=MALIGNANT | 19 claims  9 mal |  9 disagree  3 agree | 62s | ETA 0.1h
INFO   [ 47/ 52] 1688 gold=MALIGNANT | 20 claims  7 mal | 12 disagree  0 agree | 63s | ETA 0.1h
INFO   [ 48/ 52] 1724 gold=MALIGNANT | 19 claims 10 mal | 12 disagree  0 agree | 60s | ETA 0.1h
INFO   [ 49/ 52] 1760 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 62s | ETA 0.1h
INFO   [ 50/ 52] 1796 gold=MALIGNANT | 20 claims  9 mal | 11 disagree  1 agree | 64s | ETA 0.0h
INFO   [ 51/ 52] 1832 gold=BENIGN    | 20 claims 10 mal | 10 disagree  2 agree | 61s | ETA 0.0h
INFO   [ 52/ 52] 1868 gold=BENIGN    | 20 claims  8 mal | 11 disagree  1 agree | 64s | ETA 0.0h
INFO Done in 53.4 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/breastMnist/data/breast/debates_busbra/all
