INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=2/36 | 53 samples
INFO   [  1/ 53] 0002 gold=BENIGN    | 20 claims  8 mal |  9 disagree  3 agree | 19s | ETA 0.3h
INFO   [ 38/ 53] 1334 gold=MALIGNANT | 20 claims  7 mal | 10 disagree  2 agree | 11s | ETA 0.0h
INFO   [ 39/ 53] 1370 gold=BENIGN    | 20 claims  7 mal | 11 disagree  1 agree | 11s | ETA 0.0h
INFO   [ 40/ 53] 1406 gold=BENIGN    | 20 claims  6 mal |  9 disagree  3 agree | 11s | ETA 0.0h
INFO   [ 41/ 53] 1442 gold=BENIGN    | 19 claims 10 mal |  7 disagree  5 agree | 11s | ETA 0.0h
INFO   [ 42/ 53] 1478 gold=BENIGN    | 19 claims 14 mal | 12 disagree  0 agree | 11s | ETA 0.0h
INFO   [ 43/ 53] 1514 gold=BENIGN    | 19 claims  6 mal |  9 disagree  3 agree | 10s | ETA 0.0h
INFO   [ 44/ 53] 1550 gold=BENIGN    | 20 claims 10 mal | 10 disagree  2 agree | 11s | ETA 0.0h
INFO   [ 45/ 53] 1586 gold=BENIGN    | 20 claims 10 mal |  9 disagree  3 agree | 11s | ETA 0.0h
INFO   [ 46/ 53] 1622 gold=BENIGN    | 20 claims 11 mal | 12 disagree  0 agree | 11s | ETA 0.0h
INFO   [ 47/ 53] 1658 gold=MALIGNANT | 20 claims  8 mal | 12 disagree  0 agree | 10s | ETA 0.0h
INFO   [ 48/ 53] 1694 gold=BENIGN    | 20 claims 15 mal |  8 disagree  4 agree | 11s | ETA 0.0h
INFO   [ 49/ 53] 1730 gold=MALIGNANT | 20 claims  9 mal | 12 disagree  0 agree | 10s | ETA 0.0h
INFO   [ 50/ 53] 1766 gold=MALIGNANT | 20 claims 12 mal | 12 disagree  0 agree | 11s | ETA 0.0h
INFO   [ 51/ 53] 1802 gold=MALIGNANT | 20 claims 13 mal | 12 disagree  0 agree | 11s | ETA 0.0h
INFO   [ 52/ 53] 1838 gold=BENIGN    | 20 claims  9 mal | 12 disagree  0 agree | 11s | ETA 0.0h
INFO   [ 53/ 53] 1874 gold=BENIGN    | 19 claims  5 mal |  7 disagree  5 agree | 10s | ETA 0.0h
INFO Done in 9.7 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/breastMnist/data/breast/debates_busbra/all
