INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=1/36 | 53 samples
INFO   [  1/ 53] 0001 gold=MALIGNANT | 19 claims  9 mal | 12 disagree  0 agree | 21s | ETA 0.3h
INFO   [ 39/ 53] 1369 gold=BENIGN    | 20 claims  6 mal |  8 disagree  4 agree | 15s | ETA 0.1h
INFO   [ 40/ 53] 1405 gold=BENIGN    | 20 claims  6 mal | 12 disagree  0 agree | 16s | ETA 0.1h
INFO   [ 41/ 53] 1441 gold=BENIGN    | 19 claims  7 mal | 10 disagree  2 agree | 15s | ETA 0.1h
INFO   [ 42/ 53] 1477 gold=MALIGNANT | 19 claims 13 mal | 12 disagree  0 agree | 15s | ETA 0.0h
INFO   [ 43/ 53] 1513 gold=BENIGN    | 20 claims  9 mal | 12 disagree  0 agree | 16s | ETA 0.0h
INFO   [ 44/ 53] 1549 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 15s | ETA 0.0h
INFO   [ 45/ 53] 1585 gold=BENIGN    | 20 claims  6 mal | 12 disagree  0 agree | 16s | ETA 0.0h
INFO   [ 46/ 53] 1621 gold=BENIGN    | 19 claims 11 mal | 12 disagree  0 agree | 16s | ETA 0.0h
INFO   [ 47/ 53] 1657 gold=MALIGNANT | 18 claims  9 mal | 12 disagree  0 agree | 14s | ETA 0.0h
INFO   [ 48/ 53] 1693 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 16s | ETA 0.0h
INFO   [ 49/ 53] 1729 gold=MALIGNANT | 19 claims 11 mal | 12 disagree  0 agree | 16s | ETA 0.0h
INFO   [ 50/ 53] 1765 gold=BENIGN    | 20 claims  9 mal | 10 disagree  2 agree | 16s | ETA 0.0h
INFO   [ 51/ 53] 1801 gold=MALIGNANT | 20 claims 12 mal | 12 disagree  0 agree | 16s | ETA 0.0h
INFO   [ 52/ 53] 1837 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 16s | ETA 0.0h
INFO   [ 53/ 53] 1873 gold=BENIGN    | 20 claims  9 mal | 12 disagree  0 agree | 16s | ETA 0.0h
INFO Done in 13.8 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/breastMnist/data/breast/debates_busbra/all
