INFO shared finding set: 16 (8 malignant, 8 benign)
INFO debate v5 (open stance) | split=all shard=10/36 | 52 samples
INFO   [  1/ 52] 0010 gold=MALIGNANT | 20 claims 10 mal | 12 disagree  0 agree | 10s | ETA 0.1h
INFO   [ 40/ 52] 1414 gold=MALIGNANT | 20 claims 11 mal | 12 disagree  0 agree | 12s | ETA 0.0h
INFO   [ 41/ 52] 1450 gold=MALIGNANT | 20 claims 13 mal | 10 disagree  2 agree | 11s | ETA 0.0h
INFO   [ 42/ 52] 1486 gold=BENIGN    | 20 claims 11 mal | 11 disagree  1 agree | 13s | ETA 0.0h
INFO   [ 43/ 52] 1522 gold=BENIGN    | 20 claims 14 mal |  7 disagree  5 agree | 12s | ETA 0.0h
INFO   [ 44/ 52] 1558 gold=BENIGN    | 20 claims 10 mal | 10 disagree  2 agree | 10s | ETA 0.0h
INFO   [ 45/ 52] 1594 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 10s | ETA 0.0h
INFO   [ 46/ 52] 1630 gold=MALIGNANT | 19 claims 10 mal | 12 disagree  0 agree | 10s | ETA 0.0h
INFO   [ 47/ 52] 1666 gold=BENIGN    | 20 claims 10 mal | 12 disagree  0 agree | 11s | ETA 0.0h
INFO   [ 48/ 52] 1702 gold=BENIGN    | 20 claims  9 mal | 11 disagree  1 agree | 10s | ETA 0.0h
INFO   [ 49/ 52] 1738 gold=BENIGN    | 20 claims  9 mal | 11 disagree  1 agree | 11s | ETA 0.0h
INFO   [ 50/ 52] 1774 gold=MALIGNANT | 20 claims  5 mal |  9 disagree  3 agree | 10s | ETA 0.0h
INFO   [ 51/ 52] 1810 gold=MALIGNANT | 20 claims 10 mal | 10 disagree  2 agree | 11s | ETA 0.0h
INFO   [ 52/ 52] 1846 gold=BENIGN    | 19 claims 10 mal |  8 disagree  4 agree | 10s | ETA 0.0h
INFO Done in 9.3 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/breastMnist/data/breast/debates_busbra/all
